6,2026-03-27 16:06:20.399,IMU,55557298,0,-0.006025358,-0.003028031,-0.005998813,0.04973123,-0.3342511,-9.808475,0,0,26.27204,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2026-03-27 16:06:20.420,IMU,55578574,0,-0.004858688,-0.002040733,-0.003513375,0.06121093,-0.32259,-9.8214,0,0,26.27235,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2026-03-27 16:06:20.439,IMU,55597191,0,0.0002924238,-0.004359266,-0.0003874189,0.07067883,-0.330136,-9.780593,0,0,26.27261,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2026-03-27 16:06:20.479,IMU,55637158,0,-0.00205374,-0.00515542,0.002791907,0.04562969,-0.3280326,-9.799163,0,0,26.27325,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2026-03-27 16:06:20.499,IMU,55657362,0,-0.002263325,-0.007318249,0.0006703427,0.05155899,-0.3121411,-9.79358,0,0,26.27403,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2026-03-27 16:06:20.519,IMU,55677460,0,0.00558287,-0.004938745,0.000160586,0.04615352,-0.3144978,-9.771308,0,0,26.27514,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2026-03-27 16:06:20.539,IMU,55697162,0,0.002998523,-0.00539099,-0.0007139655,0.03628718,-0.3024924,-9.817819,0,0,26.27628,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2026-03-27 16:06:20.559,IMU,55717133,0,0.001341131,-0.003563069,0.003625509,0.03761917,-0.3121091,-9.811438,0,0,26.27742,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,2026-03-27 16:06:20.579,IMU,55737140,0,0.00472883,-0.003331164,0.001966739,0.01709408,-0.2838064,-9.767283,0,0,26.2786,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,2026-03-27 16:06:20.599,IMU,55757350,0,0.003077777,-0.003652721,-0.004850766,0.02368641,-0.3394611,-9.74962,0,0,26.27974,1,1,8000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
